mill zaqal.runMain zaqal.ZaqalTest
77] zaqal.runMain
[warn] home/emerald/zaqal/src/main/scala/zaqal/frontend/ICache.scala 60:55: [W004] Dynamic index with width 8 is too wide for Vec of size 128 (expected index width 7).
[warn] There were 1 warning(s) during hardware elaboration.
--- Starting ZAQAL Agile V1.0 Simulation ---
CORE EXECUTE: pc=0000000080000000 inst=00100093 src1=0000000000000000 src2=0000000000000001 res=0000000000000001
CORE EXECUTE: pc=0000000080000004 inst=fff00113 src1=0000000000000000 src2=ffffffffffffffff res=ffffffffffffffff
CORE EXECUTE: pc=0000000080000008 inst=00400193 src1=0000000000000000 src2=0000000000000004 res=0000000000000004
CORE EXECUTE: pc=000000008000000c inst=00309233 src1=0000000000000001 src2=0000000000000004 res=0000000000000010
CORE EXECUTE: pc=0000000080000010 inst=003252b3 src1=0000000000000010 src2=0000000000000004 res=0000000000000001
CORE EXECUTE: pc=0000000080000014 inst=40315333 src1=ffffffffffffffff src2=0000000000000004 res=ffffffffffffffff
CORE EXECUTE: pc=0000000080000018 inst=ff000113 src1=0000000000000000 src2=fffffffffffffff0 res=fffffffffffffff0
CORE EXECUTE: pc=000000008000001c inst=00200193 src1=0000000000000000 src2=0000000000000002 res=0000000000000002
CORE EXECUTE: pc=0000000080000020 inst=40315333 src1=fffffffffffffff0 src2=0000000000000002 res=fffffffffffffffc
CORE EXECUTE: pc=0000000080000024 inst=003093bb src1=0000000000000001 src2=0000000000000002 res=0000000000000004
CORE EXECUTE: pc=0000000080000028 inst=0032543b src1=0000000000000010 src2=0000000000000002 res=0000000000000004
CORE EXECUTE: pc=000000008000002c inst=00409493 src1=0000000000000001 src2=0000000000000004 res=0000000000000010
CORE EXECUTE: pc=0000000080000030 inst=0044d513 src1=0000000000000010 src2=0000000000000004 res=0000000000000001
CORE EXECUTE: pc=0000000080000034 inst=00000593 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000038 inst=fff00613 src1=0000000000000000 src2=ffffffffffffffff res=ffffffffffffffff
CORE EXECUTE: pc=000000008000003c inst=00f00693 src1=0000000000000000 src2=000000000000000f res=000000000000000f
CORE EXECUTE: pc=0000000080000040 inst=00f67713 src1=ffffffffffffffff src2=000000000000000f res=000000000000000f
CORE EXECUTE: pc=0000000080000044 inst=00f5e793 src1=0000000000000000 src2=000000000000000f res=000000000000000f
CORE EXECUTE: pc=0000000080000048 inst=00f74813 src1=000000000000000f src2=000000000000000f res=0000000000000000
CORE EXECUTE: pc=000000008000004c inst=00d678b3 src1=ffffffffffffffff src2=000000000000000f res=000000000000000f
CORE EXECUTE: pc=0000000080000050 inst=00d5e933 src1=0000000000000000 src2=000000000000000f res=000000000000000f
CORE EXECUTE: pc=0000000080000054 inst=00d749b3 src1=000000000000000f src2=000000000000000f res=0000000000000000
CORE EXECUTE: pc=0000000080000058 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
