--- Starting ZAQAL Agile V1.0 Simulation ---
CORE EXECUTE: pc=0000000080000000 inst=fff00093 src1=0000000000000000 src2=ffffffffffffffff res=ffffffffffffffff
CORE EXECUTE: pc=0000000080000004 inst=00100113 src1=0000000000000000 src2=0000000000000001 res=0000000000000001
CORE EXECUTE: pc=0000000080000008 inst=00000a93 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000008000000c inst=00000b13 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000010 inst=00000b93 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000014 inst=00000c13 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000080000018 inst=00128293 src1=0000000000000000 src2=0000000000000001 res=0000000000000001
CORE EXECUTE: pc=000000008000001c inst=00128293 src1=0000000000000001 src2=0000000000000001 res=0000000000000002
[Cycle 15] FTQ Flushed! Shadow copy cleared.
CORE EXECUTE: MISPREDICT! pc=0000000080000020 -> Redirecting to 0000000080000040
CORE EXECUTE: pc=0000000080000040 inst=00200a93 src1=0000000000000000 src2=0000000000000002 res=0000000000000002
CORE EXECUTE: pc=0000000080000044 Branch Correct
CORE EXECUTE: pc=0000000080000048 inst=00200b13 src1=0000000000000000 src2=0000000000000002 res=0000000000000002
CORE EXECUTE: pc=0000000080000050 inst=00100b13 src1=0000000000000000 src2=0000000000000001 res=0000000000000001
CORE EXECUTE: pc=0000000080000054 inst=00128293 src1=0000000000000002 src2=0000000000000001 res=0000000000000003
CORE EXECUTE: pc=0000000080000058 inst=00128293 src1=0000000000000003 src2=0000000000000001 res=0000000000000004
CORE EXECUTE: pc=000000008000005c inst=00128293 src1=0000000000000004 src2=0000000000000001 res=0000000000000005
[Cycle 26] FTQ Flushed! Shadow copy cleared.
CORE EXECUTE: MISPREDICT! pc=0000000080000060 -> Redirecting to 0000000080000070
CORE EXECUTE: pc=0000000080000070 inst=00200b93 src1=0000000000000000 src2=0000000000000002 res=0000000000000002
CORE EXECUTE: pc=0000000080000074 Branch Correct
