--- Starting ZAQAL Agile V1.0 Simulation ---
CORE EXECUTE: pc=0000000080000000 inst=01000093 src1=0000000000000000 src2=0000000000000010 res=0000000000000010
CORE EXECUTE: pc=0000000080000004 inst=01000113 src1=0000000000000000 src2=0000000000000010 res=0000000000000010
CORE EXECUTE: pc=0000000080000008 inst=002081b3 src1=0000000000000010 src2=0000000000000010 res=0000000000000020
[Cycle 10] FTQ Flushed! Shadow copy cleared.
CORE EXECUTE: MISPREDICT! pc=000000008000000c -> Redirecting to 0000000000000020
CORE EXECUTE: pc=0000000000000020 inst=00100513 src1=0000000000000000 src2=0000000000000001 res=0000000000000001
CORE EXECUTE: pc=0000000000000024 inst=04100293 src1=0000000000000000 src2=0000000000000041 res=0000000000000041
[Cycle 15] FTQ Flushed! Shadow copy cleared.
CORE EXECUTE: MISPREDICT! pc=0000000000000028 -> Redirecting to 0000000000000040
CORE EXECUTE: pc=0000000000000040 inst=00100593 src1=0000000000000000 src2=0000000000000001 res=0000000000000001
CORE EXECUTE: pc=0000000000000044 inst=05e00313 src1=0000000000000000 src2=000000000000005e res=000000000000005e
[Cycle 20] FTQ Flushed! Shadow copy cleared.
CORE EXECUTE: MISPREDICT! pc=0000000000000048 -> Redirecting to 000000000000005e
CORE EXECUTE: pc=000000000000005c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000060 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000064 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000068 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000006c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000070 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000074 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000078 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000007c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000080 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000084 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000088 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000008c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000090 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000094 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000098 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000009c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000a0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000a4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000a8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000ac inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000b0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000b4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000b8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000bc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000c0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000c4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000c8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000cc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000d0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000d4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000d8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000dc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000e0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000e4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000e8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000ec inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000f0 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000f4 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000f8 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=00000000000000fc inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000100 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000104 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000108 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000010c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000110 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000114 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000118 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000011c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000120 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000124 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=0000000000000128 inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
CORE EXECUTE: pc=000000000000012c inst=00000013 src1=0000000000000000 src2=0000000000000000 res=0000000000000000
